1,北海道,/jp/area/1/
2,青森県,/jp/area/2/
3,岩手県,/jp/area/3/
4,宮城県,/jp/area/4/
5,秋田県,/jp/area/5/
6,山形県,/jp/area/6/
7,福島県,/jp/area/7/
8,茨城県,/jp/area/8/
9,栃木県,/jp/area/9/
10,群馬県,/jp/area/10/
11,埼玉県,/jp/area/11/
12,千葉県,/jp/area/12/
13,東京都,/jp/area/13/
14,神奈川県,/jp/area/14/
15,新潟県,/jp/area/15/
16,富山県,/jp/area/16/
17,石川県,/jp/area/17/
18,福井県,/jp/area/18/
19,山梨県,/jp/area/19/
20,長野県,/jp/area/20/
21,岐阜県,/jp/area/21/
22,静岡県,/jp/area/22/
23,愛知県,/jp/area/23/
24,三重県,/jp/area/24/
25,滋賀県,/jp/area/25/
26,京都府,/jp/area/26/
27,大阪府,/jp/area/27/
28,兵庫県,/jp/area/28/
29,奈良県,/jp/area/29/
30,和歌山県,/jp/area/30/
31,鳥取県,/jp/area/31/
32,島根県,/jp/area/32/
33,岡山県,/jp/area/33/
34,広島県,/jp/area/34/
35,山口県,/jp/area/35/
36,徳島県,/jp/area/36/
37,香川県,/jp/area/37/
38,愛媛県,/jp/area/38/
39,高知県,/jp/area/39/
40,福岡県,/jp/area/40/
41,佐賀県,/jp/area/41/
42,長崎県,/jp/area/42/
43,熊本県,/jp/area/43/
44,大分県,/jp/area/44/
45,宮崎県,/jp/area/45/
46,鹿児島県,/jp/area/46/
47,沖縄県,/jp/area/47/
